G1,G2,studytime,failures,absences,internet,higher,risk_score,risk_level
0,11,2,0,4,0,1,3,Medium
9,11,2,0,2,1,1,2,Low
12,13,2,0,6,1,1,0,Low
14,14,3,0,0,1,1,0,Low
11,13,2,0,0,0,1,1,Low
12,12,2,0,6,1,1,0,Low
13,12,2,0,0,1,1,0,Low
10,13,2,0,2,0,1,1,Low
15,16,2,0,0,1,1,0,Low
12,12,2,0,0,1,1,0,Low
14,14,2,0,2,1,1,0,Low
10,12,3,0,0,1,1,0,Low
12,13,1,0,0,1,1,1,Low
12,12,2,0,0,1,1,0,Low
14,14,3,0,0,1,1,0,Low
17,17,1,0,6,1,1,1,Low
13,13,3,0,10,1,1,0,Low
13,14,2,0,2,0,1,1,Low
8,8,1,3,2,1,1,7,High
12,12,1,0,6,1,1,1,Low
12,13,2,0,0,1,1,0,Low
11,12,1,0,0,1,1,1,Low
12,13,2,0,0,1,1,0,Low
10,10,2,0,2,1,1,0,Low
10,11,3,0,2,1,1,0,Low
10,11,1,0,6,1,1,1,Low
11,12,1,0,8,1,1,1,Low
11,11,1,0,0,1,1,1,Low
12,12,2,0,2,1,1,0,Low
12,11,2,0,4,1,1,0,Low
10,11,2,0,0,1,1,0,Low
15,15,2,0,2,1,1,0,Low
13,14,2,0,0,1,1,0,Low
13,12,2,0,0,1,1,0,Low
12,12,1,0,4,1,1,1,Low
11,11,1,0,4,0,1,2,Low
14,14,3,0,0,1,1,0,Low
13,13,3,0,4,1,1,0,Low
11,12,3,0,2,1,1,0,Low
14,13,1,0,8,0,1,2,Low
11,11,2,0,16,1,1,1,Low
10,11,1,0,8,1,1,1,Low
14,15,2,0,0,1,1,0,Low
9,10,1,0,0,1,1,3,Medium
10,11,2,1,14,1,1,3,Medium
10,11,2,0,4,1,1,0,Low
13,12,2,0,6,1,1,0,Low
17,17,4,0,2,1,1,0,Low
11,12,2,0,4,0,1,1,Low
13,12,2,0,2,1,1,0,Low
14,13,2,0,0,1,1,0,Low
16,14,2,0,0,1,1,0,Low
10,9,1,0,4,0,1,4,Medium
13,12,1,0,0,1,1,1,Low
13,12,1,0,0,1,1,1,Low
12,13,2,0,2,1,1,0,Low
15,14,2,0,0,1,1,0,Low
15,15,2,0,8,0,1,1,Low
14,13,2,0,0,1,1,0,Low
16,15,2,0,2,1,1,0,Low
17,16,2,0,0,0,1,1,Low
10,10,1,0,0,1,1,1,Low
13,13,2,0,0,1,1,0,Low
14,13,3,0,0,1,1,0,Low
13,12,2,0,0,1,1,0,Low
16,15,2,0,2,1,1,0,Low
11,12,4,0,0,1,1,0,Low
10,9,4,0,0,1,1,2,Low
11,10,2,0,0,1,1,0,Low
15,15,4,0,6,1,1,0,Low
13,11,4,0,2,1,1,0,Low
11,9,4,0,0,1,1,2,Low
13,11,2,0,2,1,1,0,Low
13,13,1,0,0,0,1,2,Low
11,11,2,0,4,1,1,0,Low
11,11,2,0,0,1,1,0,Low
12,11,4,0,0,1,1,0,Low
13,13,4,0,1,1,1,0,Low
9,9,1,3,0,1,0,8,High
12,11,2,0,14,1,1,1,Low
11,11,1,0,0,1,1,1,Low
10,9,3,0,2,1,1,2,Low
12,11,2,0,4,1,1,0,Low
13,12,2,0,2,1,1,0,Low
13,12,2,0,2,1,1,0,Low
12,11,2,0,4,1,1,0,Low
13,11,2,0,6,0,1,1,Low
15,15,3,0,4,1,1,0,Low
12,10,2,0,6,1,1,0,Low
9,9,2,0,6,0,1,5,Medium
9,11,3,0,2,1,1,2,Low
14,13,1,0,6,1,1,1,Low
12,13,2,0,0,0,1,1,Low
13,14,2,0,2,1,1,0,Low
11,12,4,0,2,1,1,0,Low
13,13,4,0,4,1,1,0,Low
9,11,1,0,6,1,1,3,Medium
13,12,2,0,0,0,1,1,Low
12,13,1,0,4,1,1,1,Low
12,13,3,0,2,1,1,0,Low
9,9,1,0,12,1,1,6,High
16,16,3,0,0,1,1,0,Low
12,13,1,0,2,1,1,1,Low
11,10,2,0,16,1,1,1,Low
16,16,2,0,0,1,1,0,Low
10,10,4,0,10,0,1,1,Low
10,10,4,0,4,1,1,0,Low
13,14,3,0,4,1,1,0,Low
12,10,4,0,8,1,1,0,Low
15,15,3,0,2,1,1,0,Low
13,14,1,0,4,1,1,1,Low
11,11,3,0,4,1,1,0,Low
8,10,2,1,12,1,1,5,Medium
18,17,1,0,10,1,1,1,Low
10,9,2,0,4,1,1,2,Low
16,14,2,0,6,1,1,0,Low
16,15,2,0,4,0,1,1,Low
14,14,1,0,6,1,1,1,Low
12,11,2,1,14,1,1,3,Medium
14,13,1,0,2,1,1,1,Low
14,14,2,0,0,1,1,0,Low
14,13,4,0,6,1,1,0,Low
14,12,2,0,2,1,1,0,Low
12,13,1,0,4,1,1,1,Low
12,11,2,0,0,1,1,0,Low
9,9,1,0,2,1,1,5,Medium
10,11,2,0,0,1,1,0,Low
9,10,2,2,0,0,0,6,High
14,14,1,0,8,1,1,1,Low
13,12,3,0,4,1,1,0,Low
10,11,3,0,0,1,1,0,Low
10,9,2,3,10,1,0,5,Medium
11,10,1,0,8,1,1,1,Low
11,12,1,0,6,1,1,1,Low
